Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,Selected
continuous,discrete,discrete,discrete,discrete,continuous,continuous,continuous,discrete
,,,,,,,,class
593.0,2020-02-02 21:00:00,Xinjiang,Mainland China,2020-03-02 01:13:00,24.0,0.0,0.0,No
594.0,2020-02-02 21:00:00,,Japan,2020-01-02 18:53:00,20.0,0.0,1.0,No
597.0,2020-02-02 21:00:00,Hong Kong,Hong Kong,2020-02-02 23:53:00,15.0,0.0,0.0,No
598.0,2020-02-02 21:00:00,,South Korea,2020-02-02 02:23:00,15.0,0.0,0.0,No
603.0,2020-02-02 21:00:00,,Malaysia,1/31/2020 8:15,8.0,0.0,0.0,No
605.0,2020-02-02 21:00:00,,Vietnam,2020-01-02 07:38:00,6.0,0.0,1.0,No
608.0,2020-02-02 21:00:00,Victoria,Australia,2020-01-02 18:12:00,4.0,0.0,0.0,No
611.0,2020-02-02 21:00:00,South Australia,Australia,2020-02-02 22:33:00,2.0,0.0,0.0,No
612.0,2020-02-02 21:00:00,,India,2020-02-02 06:03:00,2.0,0.0,0.0,No
614.0,2020-02-02 21:00:00,,Philippines,2020-02-02 03:33:00,2.0,1.0,0.0,No
615.0,2020-02-02 21:00:00,,Russia,1/31/2020 16:13,2.0,0.0,0.0,No
621.0,2020-02-02 21:00:00,,Finland,1/31/2020 8:15,1.0,0.0,0.0,No
622.0,2020-02-02 21:00:00,Tibet,Mainland China,2020-01-02 01:52:00,1.0,0.0,0.0,No
623.0,2020-02-02 21:00:00,,Nepal,1/31/2020 8:15,1.0,0.0,0.0,No
625.0,2020-02-02 21:00:00,,Sri Lanka,1/31/2020 8:15,1.0,0.0,0.0,No
