,Unnamed: 0,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,nDate,lat,lon
176,178,missing_value,Malaysia,1/29/2020 21:00,7,0,0,29,0,0
177,179,missing_value,Cambodia,1/29/2020 21:00,1,0,0,29,0,0
178,180,missing_value,Sri Lanka,1/29/2020 21:00,1,0,0,29,0,0
179,181,New South Wales,Australia,1/29/2020 21:00,4,0,0,29,-31.8759835,147.2869493
180,182,Victoria,Australia,1/29/2020 21:00,2,0,0,29,-36.5986096,144.6780052
181,183,Queensland,Australia,1/29/2020 21:00,1,0,0,29,-22.1646782,144.5844903
182,184,Hebei,Mainland China,1/30/2020 21:30,82,1,0,30,39.0000001,116
183,185,Gansu,Mainland China,1/30/2020 21:30,29,0,0,30,38.0000001,101.9999999
184,186,Inner Mongolia,Mainland China,1/30/2020 21:30,20,0,0,30,43.2443242,114.3251664
185,187,Jilin,Mainland China,1/30/2020 21:30,14,0,1,30,42.9995032,125.9816054
186,188,Taiwan,Taiwan,1/30/2020 21:30,9,0,0,30,23.9739374,120.9820179
187,189,Qinghai,Mainland China,1/30/2020 21:30,8,0,0,30,35.40709525,95.95211573
188,190,Macau,Macau,1/30/2020 21:30,7,0,0,30,22.1757605,113.5514142
189,191,missing_value,Japan,1/30/2020 21:30,11,0,1,30,0,0
190,192,missing_value,South Korea,1/30/2020 21:30,6,0,0,30,0,0
191,193,missing_value,Vietnam,1/30/2020 21:30,2,0,0,30,0,0
192,194,missing_value,Nepal,1/30/2020 21:30,1,0,0,30,0,0
193,195,missing_value,Malaysia,1/30/2020 21:30,8,0,0,30,0,0
194,196,missing_value,Cambodia,1/30/2020 21:30,1,0,0,30,0,0
195,197,missing_value,Sri Lanka,1/30/2020 21:30,1,0,0,30,0,0
196,198,New South Wales,Australia,1/30/2020 21:30,4,0,2,30,-31.8759835,147.2869493
197,199,Victoria,Australia,1/30/2020 21:30,2,0,0,30,-36.5986096,144.6780052
198,200,Queensland,Australia,1/30/2020 21:30,3,0,0,30,-22.1646782,144.5844903
199,201,missing_value,Finland,1/30/2020 21:30,1,0,0,30,0,0
200,202,missing_value,Philippines,1/30/2020 21:30,1,0,0,30,0,0
201,203,Shaanxi,Mainland China,1/31/2020 19:00,87,0,0,31,36,109
202,204,Hainan,Mainland China,1/31/2020 19:00,58,1,1,31,19.2000001,109.5999999
203,205,Guizhou,Mainland China,1/31/2020 19:00,29,0,2,31,27,107
204,206,Inner Mongolia,Mainland China,1/31/2020 19:00,20,0,0,31,43.2443242,114.3251664
205,207,Xinjiang,Mainland China,1/31/2020 19:00,17,0,0,31,41.7574769,87.16738423
206,208,Jilin,Mainland China,1/31/2020 19:00,14,0,1,31,42.9995032,125.9816054
207,209,Hong Kong,Hong Kong,1/31/2020 19:00,13,0,0,31,22.2793278,114.1628131
208,210,Taiwan,Taiwan,1/31/2020 19:00,10,0,0,31,23.9739374,120.9820179
209,211,Qinghai,Mainland China,1/31/2020 19:00,8,0,0,31,35.40709525,95.95211573
210,212,Macau,Macau,1/31/2020 19:00,7,0,0,31,22.1757605,113.5514142
211,213,missing_value,Japan,1/31/2020 19:00,17,0,1,31,0,0
212,214,missing_value,South Korea,1/31/2020 19:00,11,0,0,31,0,0
213,215,missing_value,Vietnam,1/31/2020 19:00,2,0,0,31,0,0
214,216,missing_value,Nepal,1/31/2020 19:00,1,0,0,31,0,0
215,217,missing_value,Cambodia,1/31/2020 19:00,1,0,0,31,0,0
216,218,missing_value,Sri Lanka,1/31/2020 19:00,1,0,0,31,0,0
217,219,New South Wales,Australia,1/31/2020 19:00,4,0,2,31,-31.8759835,147.2869493
218,220,Victoria,Australia,1/31/2020 19:00,2,0,0,31,-36.5986096,144.6780052
219,221,Queensland,Australia,1/31/2020 19:00,3,0,0,31,-22.1646782,144.5844903
220,222,missing_value,Finland,1/31/2020 19:00,1,0,0,31,0,0
221,223,missing_value,Philippines,1/31/2020 19:00,1,0,0,31,0,0
222,224,missing_value,India,1/31/2020 19:00,1,0,0,31,0,0
223,225,missing_value,Russia,1/31/2020 19:00,2,0,0,31,0,0
224,226,Gansu,Mainland China,1/2/2020 15:43,40,0,0,32,38.0000001,101.9999999
225,227,Inner Mongolia,Mainland China,2/2/2020 3:43,27,0,1,32,43.2443242,114.3251664
226,228,Jilin,Mainland China,2/2/2020 2:33,23,0,1,32,42.9995032,125.9816054
227,229,Xinjiang,Mainland China,2/2/2020 0:43,21,0,0,32,41.7574769,87.16738423
228,230,missing_value,Japan,1/2/2020 18:53,20,0,1,32,0,0
229,231,missing_value,Malaysia,1/31/2020 8:15,8,0,0,32,0,0
230,232,missing_value,Vietnam,1/2/2020 7:38,6,0,1,32,0,0
231,233,New South Wales,Australia,1/2/2020 18:12,4,0,2,32,-31.8759835,147.2869493
232,234,Victoria,Australia,1/2/2020 18:12,4,0,0,32,-36.5986096,144.6780052
233,235,Queensland,Australia,1/2/2020 18:12,2,0,0,32,-22.1646782,144.5844903
234,236,missing_value,Philippines,2/2/2020 3:33,2,1,0,32,0,0
235,237,missing_value,Russia,1/31/2020 16:13,2,0,0,32,0,0
236,238,South Australia,Australia,1/2/2020 18:12,2,0,0,32,-30.5343665,135.6301212
237,239,missing_value,India,1/31/2020 8:15,1,0,0,32,0,0
238,240,missing_value,Nepal,1/31/2020 8:15,1,0,0,32,0,0
239,241,missing_value,Sri Lanka,1/31/2020 8:15,1,0,0,32,0,0
240,242,Xinjiang,Mainland China,3/2/2020 1:13,24,0,0,33,41.7574769,87.16738423
241,243,missing_value,Japan,1/2/2020 18:53,20,0,1,33,0,0
242,244,Hong Kong,Hong Kong,2/2/2020 23:53,15,0,0,33,22.2793278,114.1628131
243,245,missing_value,South Korea,2/2/2020 2:23,15,0,0,33,0,0
244,246,missing_value,Malaysia,1/31/2020 8:15,8,0,0,33,0,0
245,247,missing_value,Vietnam,1/2/2020 7:38,6,0,1,33,0,0
246,248,Victoria,Australia,1/2/2020 18:12,4,0,0,33,-36.5986096,144.6780052
247,249,South Australia,Australia,2/2/2020 22:33,2,0,0,33,-30.5343665,135.6301212
248,250,missing_value,India,2/2/2020 6:03,2,0,0,33,0,0
249,251,missing_value,Philippines,2/2/2020 3:33,2,1,0,33,0,0
250,252,missing_value,Russia,1/31/2020 16:13,2,0,0,33,0,0
251,253,missing_value,Finland,1/31/2020 8:15,1,0,0,33,0,0
252,254,Tibet,Mainland China,1/2/2020 1:52,1,0,0,33,31.89434315,87.07813713
253,255,missing_value,Nepal,1/31/2020 8:15,1,0,0,33,0,0
254,256,missing_value,Sri Lanka,1/31/2020 8:15,1,0,0,33,0,0
