,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,nDate
169,Inner Mongolia,Mainland China,1/29/2020 21:00,16.0,0.0,0.0,29
170,Xinjiang,Mainland China,1/29/2020 21:00,14.0,0.0,0.0,29
171,Ningxia,Mainland China,1/29/2020 21:00,12.0,0.0,0.0,29
172,Macau,Macau,1/29/2020 21:00,7.0,0.0,0.0,29
173,Qinghai,Mainland China,1/29/2020 21:00,6.0,0.0,0.0,29
174,,Japan,1/29/2020 21:00,11.0,0.0,1.0,29
175,,South Korea,1/29/2020 21:00,4.0,0.0,0.0,29
176,,Vietnam,1/29/2020 21:00,2.0,0.0,0.0,29
177,,Nepal,1/29/2020 21:00,1.0,0.0,0.0,29
178,,Malaysia,1/29/2020 21:00,7.0,0.0,0.0,29
179,,Cambodia,1/29/2020 21:00,1.0,0.0,0.0,29
180,,Sri Lanka,1/29/2020 21:00,1.0,0.0,0.0,29
181,New South Wales,Australia,1/29/2020 21:00,4.0,0.0,0.0,29
182,Victoria,Australia,1/29/2020 21:00,2.0,0.0,0.0,29
183,Queensland,Australia,1/29/2020 21:00,1.0,0.0,0.0,29
184,Hebei,Mainland China,1/30/2020 21:30,82.0,1.0,0.0,30
185,Gansu,Mainland China,1/30/2020 21:30,29.0,0.0,0.0,30
186,Inner Mongolia,Mainland China,1/30/2020 21:30,20.0,0.0,0.0,30
187,Jilin,Mainland China,1/30/2020 21:30,14.0,0.0,1.0,30
188,Taiwan,Taiwan,1/30/2020 21:30,9.0,0.0,0.0,30
189,Qinghai,Mainland China,1/30/2020 21:30,8.0,0.0,0.0,30
190,Macau,Macau,1/30/2020 21:30,7.0,0.0,0.0,30
191,,Japan,1/30/2020 21:30,11.0,0.0,1.0,30
192,,South Korea,1/30/2020 21:30,6.0,0.0,0.0,30
193,,Vietnam,1/30/2020 21:30,2.0,0.0,0.0,30
194,,Nepal,1/30/2020 21:30,1.0,0.0,0.0,30
195,,Malaysia,1/30/2020 21:30,8.0,0.0,0.0,30
196,,Cambodia,1/30/2020 21:30,1.0,0.0,0.0,30
197,,Sri Lanka,1/30/2020 21:30,1.0,0.0,0.0,30
198,New South Wales,Australia,1/30/2020 21:30,4.0,0.0,2.0,30
199,Victoria,Australia,1/30/2020 21:30,2.0,0.0,0.0,30
200,Queensland,Australia,1/30/2020 21:30,3.0,0.0,0.0,30
201,,Finland,1/30/2020 21:30,1.0,0.0,0.0,30
202,,Philippines,1/30/2020 21:30,1.0,0.0,0.0,30
203,Shaanxi,Mainland China,1/31/2020 19:00,87.0,0.0,0.0,31
204,Hainan,Mainland China,1/31/2020 19:00,58.0,1.0,1.0,31
205,Guizhou,Mainland China,1/31/2020 19:00,29.0,0.0,2.0,31
206,Inner Mongolia,Mainland China,1/31/2020 19:00,20.0,0.0,0.0,31
207,Xinjiang,Mainland China,1/31/2020 19:00,17.0,0.0,0.0,31
208,Jilin,Mainland China,1/31/2020 19:00,14.0,0.0,1.0,31
209,Hong Kong,Hong Kong,1/31/2020 19:00,13.0,0.0,0.0,31
210,Taiwan,Taiwan,1/31/2020 19:00,10.0,0.0,0.0,31
211,Qinghai,Mainland China,1/31/2020 19:00,8.0,0.0,0.0,31
212,Macau,Macau,1/31/2020 19:00,7.0,0.0,0.0,31
213,,Japan,1/31/2020 19:00,17.0,0.0,1.0,31
214,,South Korea,1/31/2020 19:00,11.0,0.0,0.0,31
215,,Vietnam,1/31/2020 19:00,2.0,0.0,0.0,31
216,,Nepal,1/31/2020 19:00,1.0,0.0,0.0,31
217,,Cambodia,1/31/2020 19:00,1.0,0.0,0.0,31
218,,Sri Lanka,1/31/2020 19:00,1.0,0.0,0.0,31
219,New South Wales,Australia,1/31/2020 19:00,4.0,0.0,2.0,31
220,Victoria,Australia,1/31/2020 19:00,2.0,0.0,0.0,31
221,Queensland,Australia,1/31/2020 19:00,3.0,0.0,0.0,31
222,,Finland,1/31/2020 19:00,1.0,0.0,0.0,31
223,,Philippines,1/31/2020 19:00,1.0,0.0,0.0,31
224,,India,1/31/2020 19:00,1.0,0.0,0.0,31
225,,Russia,1/31/2020 19:00,2.0,0.0,0.0,31
226,Gansu,Mainland China,2020-01-02 15:43:00,40.0,0.0,0.0,32
227,Inner Mongolia,Mainland China,2020-02-02 03:43:00,27.0,0.0,1.0,32
228,Jilin,Mainland China,2020-02-02 02:33:00,23.0,0.0,1.0,32
229,Xinjiang,Mainland China,2020-02-02 00:43:00,21.0,0.0,0.0,32
230,,Japan,2020-01-02 18:53:00,20.0,0.0,1.0,32
231,,Malaysia,1/31/2020 8:15,8.0,0.0,0.0,32
232,,Vietnam,2020-01-02 07:38:00,6.0,0.0,1.0,32
233,New South Wales,Australia,2020-01-02 18:12:00,4.0,0.0,2.0,32
234,Victoria,Australia,2020-01-02 18:12:00,4.0,0.0,0.0,32
235,Queensland,Australia,2020-01-02 18:12:00,2.0,0.0,0.0,32
236,,Philippines,2020-02-02 03:33:00,2.0,1.0,0.0,32
237,,Russia,1/31/2020 16:13,2.0,0.0,0.0,32
238,South Australia,Australia,2020-01-02 18:12:00,2.0,0.0,0.0,32
239,,India,1/31/2020 8:15,1.0,0.0,0.0,32
240,,Nepal,1/31/2020 8:15,1.0,0.0,0.0,32
241,,Sri Lanka,1/31/2020 8:15,1.0,0.0,0.0,32
242,Xinjiang,Mainland China,2020-03-02 01:13:00,24.0,0.0,0.0,33
243,,Japan,2020-01-02 18:53:00,20.0,0.0,1.0,33
244,Hong Kong,Hong Kong,2020-02-02 23:53:00,15.0,0.0,0.0,33
245,,South Korea,2020-02-02 02:23:00,15.0,0.0,0.0,33
246,,Malaysia,1/31/2020 8:15,8.0,0.0,0.0,33
247,,Vietnam,2020-01-02 07:38:00,6.0,0.0,1.0,33
248,Victoria,Australia,2020-01-02 18:12:00,4.0,0.0,0.0,33
249,South Australia,Australia,2020-02-02 22:33:00,2.0,0.0,0.0,33
250,,India,2020-02-02 06:03:00,2.0,0.0,0.0,33
251,,Philippines,2020-02-02 03:33:00,2.0,1.0,0.0,33
252,,Russia,1/31/2020 16:13,2.0,0.0,0.0,33
253,,Finland,1/31/2020 8:15,1.0,0.0,0.0,33
254,Tibet,Mainland China,2020-01-02 01:52:00,1.0,0.0,0.0,33
255,,Nepal,1/31/2020 8:15,1.0,0.0,0.0,33
256,,Sri Lanka,1/31/2020 8:15,1.0,0.0,0.0,33
